title,author,url,summary
"In Brain Waves, Scientists See Neurons Juggle Possible Futures",Jordana Cepelewicz,https://www.quantamagazine.org/in-brain-waves-scientists-see-neurons-juggle-possible-futures-20200224/,"Faced with a decision, the brain weighs its options by bundling them into rapidly alternating cycles of brain waves. "
‘Radical Change’ Needed After Latest Neutron Star Collision,Dana Najjar,https://www.quantamagazine.org/radical-change-needed-after-latest-neutron-star-collision-20200220/,"A recent neutron star merger has defied astronomers’ expectations, leading them to question longstanding ideas about neutron stars and the supernovas that create them. “We have to go back to the drawing board.”"
New Clues About ‘Ambigram’ Viruses With Strange Reversible Genes,Jordana Cepelewicz,https://www.quantamagazine.org/new-clues-about-ambigram-viruses-with-strange-reversible-genes-20200212/,"For decades, scientists have been intrigued by tiny viruses whose genetic material can be read both forward and backward. New research begins to explain this puzzling property."
Color-Changing Material Unites the Math and Physics of Knots,Devin Powell,https://www.quantamagazine.org/color-changing-material-unites-the-math-and-physics-of-knots-20200210/,"Mathematicians have studied knots for centuries, but a new material is showing why some knots are better than others."
How Ancient Light Reveals the Universe’s Contents,Charlie Wood,https://www.quantamagazine.org/how-the-cosmic-microwave-background-reveals-the-universes-contents-20200128/,"A photograph of the infant cosmos reveals the precise amounts of dark matter and dark energy in the universe, leaving precious little room for argument."
"Glial Brain Cells, Long in Neurons’ Shadow, Reveal Hidden Powers",Elena Renken,https://www.quantamagazine.org/glial-brain-cells-long-in-neurons-shadow-reveal-hidden-powers-20200127/,"The glial cells of the nervous system have been eclipsed in importance by neurons for decades. But glia are turning out to be central to many neurological functions, including pain perception."
How Pi Connects Colliding Blocks to a Quantum Search Algorithm,Grant Sanderson,https://www.quantamagazine.org/how-pi-connects-colliding-blocks-to-a-quantum-search-algorithm-20200121/,A curious physicist has discovered an unexpected link between theoretical block collisions and a famed quantum search algorithm.
"For Fluid Equations, a Steady Flow of Progress",Kevin Hartnett,https://www.quantamagazine.org/for-fluid-equations-a-steady-flow-of-progress-20200113/,A startling experimental discovery about how fluids behave started a wave of important mathematical proofs. 
Biodiversity Alters Strategies of Bacterial Evolution,Jordana Cepelewicz,https://www.quantamagazine.org/biodiversity-alters-strategies-of-bacterial-evolution-20200106/,"In evolution, context is everything: Bacteria with neighbors evolve to rebuff viruses in a different way."
Unscrambled Eggs: Self-Organization Restores Cells’ Order,Wynne Parry,https://www.quantamagazine.org/unscrambled-eggs-self-organization-restores-cells-order-20200102/,"To scientists’ surprise, blended mixtures of cytoplasm can reorganize themselves into cell-like compartments with working structural components."
"No Dark Energy? No Chance, Cosmologists Contend",Natalie Wolchover,https://www.quantamagazine.org/no-dark-energy-no-chance-cosmologists-contend-20191217/,A study challenged the evidence for the mysterious antigravitational force known as dark energy. Then cosmologists shot back. 
Sleeping Brain Waves Draw a Healthy Bath for Neurons,Elena Renken,https://www.quantamagazine.org/sleeping-brain-waves-draw-a-healthy-bath-for-neurons-20191216/,"An organized tide of brain waves, blood and spinal fluid pulsing through a sleeping brain may flush away neural toxins that cause Alzheimer’s and other diseases."
Why the Laws of Physics Are Inevitable,Natalie Wolchover,https://www.quantamagazine.org/how-simple-rules-bootstrap-the-laws-of-physics-20191209/,"By considering simple symmetries, physicists working on the “bootstrap” can rediscover the basic form of the known forces that shape the universe."
Black Hole Singularities Are as Inescapable as Expected,Steve Nadis,https://www.quantamagazine.org/black-hole-singularities-are-as-inescapable-as-expected-20191202/,"For the first time, physicists have calculated exactly what kind of singularity lies at the center of a realistic black hole."
Top Dark Matter Candidate Loses Ground to Tiniest Competitor,Charlie Wood,https://www.quantamagazine.org/why-dark-matter-might-be-axions-20191127/,"Physicists have long searched for hypothesized dark matter particles called WIMPs. Now, focus may be shifting to the axion — an ultra-lightweight particle whose existence would solve two mysteries at once."
Hologram Within a Hologram Hints at Fate of Black Holes,Charlie Wood,https://www.quantamagazine.org/hologram-within-a-hologram-hints-at-solution-to-black-hole-information-paradox-20191119/,Calculations involving a higher dimension are guiding physicists toward a misstep in Stephen Hawking’s legendary black hole analysis.
Mathematicians Calculate How Randomness Creeps In,Marcus Woo,https://www.quantamagazine.org/mathematicians-calculate-how-randomness-creeps-in-20191112/,Mathematicians have figured out exactly how many moves it takes to randomize a 15 puzzle. 
What Shape Is the Universe? A New Study Suggests We’ve Got It All Wrong,Natalie Wolchover,https://www.quantamagazine.org/what-shape-is-the-universe-closed-or-flat-20191104/,Most every cosmologist believes the universe is flat. A new analysis argues that it’s closed.
"In Brain Waves, Scientists See Neurons Juggle Possible Futures",Jordana Cepelewicz,https://www.quantamagazine.org/in-brain-waves-scientists-see-neurons-juggle-possible-futures-20200224/,"Faced with a decision, the brain weighs its options by bundling them into rapidly alternating cycles of brain waves. "
‘Radical Change’ Needed After Latest Neutron Star Collision,Dana Najjar,https://www.quantamagazine.org/radical-change-needed-after-latest-neutron-star-collision-20200220/,"A recent neutron star merger has defied astronomers’ expectations, leading them to question longstanding ideas about neutron stars and the supernovas that create them. “We have to go back to the drawing board.”"
